"Language","System","Level","Cohen_d"
"cs-pl","gpt3","Paragraph",-1.05234821080365
"cs-pl","gpt3","Sentence",-0.0646836155430459
"cs-pl","gpt4","Paragraph",0.211946706142193
"cs-pl","gpt4","Sentence",-0.47528097996491
"cs-pl","nmt","Sentence",-0.0606170796051961
"de-en","gpt3","Paragraph",0.00073023903101651
"de-en","gpt3","Sentence",0.0633274845776625
"de-en","gpt4","Paragraph",0.0921307950224533
"de-en","gpt4","Sentence",-0.363226685724649
"de-en","nmt","Sentence",-0.234176010639471
"de-en_news","gpt4","Paragraph",-0.233018892807909
"de-en_news","nmt","Sentence",-0.224663587827144
"de-ja","gpt3","Paragraph",0.864337374971775
"de-ja","gpt3","Sentence",0.924177557645136
"de-ja","gpt4","Paragraph",0.471665143115801
"de-ja","gpt4","Sentence",0.865526437988951
"de-ja","nmt","Sentence",1.0266503840148
"de-pl","gpt3","Paragraph",0.0560922394968745
"de-pl","gpt3","Sentence",-1.14506562598293
"de-pl","gpt4","Paragraph",-1.04352190323506
"de-pl","gpt4","Sentence",-0.878541764002619
"de-pl","nmt","Sentence",-1.32850658478708
"en-de_news","gpt4","Paragraph",-0.116093669219054
"en-de_news","nmt","Sentence",-0.0062987772827368
"en-ja","gpt3","Paragraph",-0.34445231838413
"en-ja","gpt3","Sentence",-0.0822517563591292
"en-ja","gpt4","Paragraph",0.152911750473882
"en-ja","gpt4","Sentence",0.101061748348036
"en-ja","nmt","Sentence",0.161446072901955
"en-pl","gpt3","Paragraph",-1.02758055437934
"en-pl","gpt3","Sentence",-0.873213730890595
"en-pl","gpt4","Paragraph",-0.573416849504655
"en-pl","gpt4","Sentence",-0.831778386314901
"en-pl","nmt","Sentence",-1.25856720345483
"fr-en","gpt3","Paragraph",-0.430789381486342
"fr-en","gpt3","Sentence",-0.607658998294087
"fr-en","gpt4","Paragraph",-0.462344390664424
"fr-en","gpt4","Sentence",-1.01361949930921
"fr-en","nmt","Sentence",-1.06698946570622
"fr-ja","gpt3","Paragraph",-0.217376961842531
"fr-ja","gpt3","Sentence",0.0752193165333131
"fr-ja","gpt4","Paragraph",-0.440372534874343
"fr-ja","gpt4","Sentence",-0.239754780596302
"fr-ja","nmt","Sentence",0.271247846377686
"fr-pl","gpt3","Paragraph",-1.82636661253558
"fr-pl","gpt3","Sentence",-1.80597810289777
"fr-pl","gpt4","Paragraph",-1.82865951272166
"fr-pl","gpt4","Sentence",-1.84668353142354
"fr-pl","nmt","Sentence",-1.83488251134972
"ja-en","gpt3","Paragraph",-0.569763142355867
"ja-en","gpt3","Sentence",-0.414713070622002
"ja-en","gpt4","Paragraph",0.0559258647183421
"ja-en","gpt4","Sentence",-0.2214789432898
"ja-en","nmt","Sentence",-0.133604152817268
"ja-pl","gpt3","Paragraph",-0.69274475088739
"ja-pl","gpt3","Sentence",-0.623210643241893
"ja-pl","gpt4","Paragraph",-0.475719567433197
"ja-pl","gpt4","Sentence",-0.235883312993505
"ja-pl","nmt","Sentence",-0.300179367492901
"pl-en","gpt3","Paragraph",-0.129199007541764
"pl-en","gpt3","Sentence",-0.0770331034038647
"pl-en","gpt4","Paragraph",0.292375050464805
"pl-en","gpt4","Sentence",-0.0806217448320375
"pl-en","nmt","Sentence",-0.101263307818786
"pl-ja","gpt3","Paragraph",0.384007877448196
"pl-ja","gpt3","Sentence",-0.0452592614668874
"pl-ja","gpt4","Paragraph",0.540393374915008
"pl-ja","gpt4","Sentence",0.0924354192207033
"pl-ja","nmt","Sentence",0.469165067419221
"ru-en","gpt3","Paragraph",-0.913142468774369
"ru-en","gpt3","Sentence",-1.07701495106104
"ru-en","gpt4","Paragraph",-0.607955018667405
"ru-en","gpt4","Sentence",-1.04603026819727
"ru-en","nmt","Sentence",-1.21960481985524
"ru-ja","gpt3","Paragraph",-0.743941418801217
"ru-ja","gpt3","Sentence",-0.725599350136166
"ru-ja","gpt4","Paragraph",-0.872483018159098
"ru-ja","gpt4","Sentence",-0.77205703216124
"ru-ja","nmt","Sentence",-0.696288798975921
"ru-pl","gpt3","Paragraph",-1.75487835126042
"ru-pl","gpt3","Sentence",-0.699512737397625
"ru-pl","gpt4","Paragraph",0.259251883823173
"ru-pl","gpt4","Sentence",-0.794720133261623
"ru-pl","nmt","Sentence",0.074617355844421
"zh-en","gpt3","Paragraph",0.420358537902151
"zh-en","gpt3","Sentence",-0.156937199660348
"zh-en","gpt4","Paragraph",0.091176407900317
"zh-en","gpt4","Sentence",-0.0732878123714817
"zh-en","nmt","Sentence",0.0306088848367684
"zh-ja","gpt3","Paragraph",-1.47093520663312
"zh-ja","gpt3","Sentence",-0.478493734594714
"zh-ja","gpt4","Paragraph",-0.700986236641817
"zh-ja","gpt4","Sentence",0.276854379251716
"zh-ja","nmt","Sentence",-0.658260252579427
